i,coefficient,Down,NotSig,Up,SigF
1,C_1RA_1NA,1,15510,0,NA
2,C_3RA_3NA,1099,13967,445,NA
3,C_3RA_1RA,4543,4395,6573,NA
4,C_3NA_1NA,3494,7252,4765,NA
5,C_1RI_1NI,454,14652,405,NA
6,C_3RI_3NI,991,14147,373,NA
7,C_3RI_1RI,5032,3461,7018,NA
8,C_3NI_1NI,431,14829,251,NA
9,C_(1RI_1NI)_(1RA_1NA),1,15510,0,NA
10,C_(3RI_3NI)_(3RA_3NA),0,15511,0,NA
11,C_(3RI_1RI)_(3RA_1RA),0,15511,0,NA
12,C_(3NI_1NI)_(3NA_1NA),1,15510,0,NA
13,C_(3RI_1RI)_(3NI_1NI),3212,8678,3621,NA
14,C_(3RA_1RA)_(3NA_1NA),0,15511,0,NA
15,C_((3RI_1RI)_(3NI_1NI))_((3RA_1RA)_(3NA_1NA)),0,15511,0,NA
16,visit_responder_drug.week_0_Primary_NonResponse_adalimumab,500,1629,13382,NA
17,visit_responder_drug.week_0_Primary_NonResponse_infliximab,475,1586,13450,NA
18,visit_responder_drug.week_0_Primary_Response_adalimumab,547,1533,13431,NA
19,visit_responder_drug.week_0_Primary_Response_infliximab,563,1527,13421,NA
20,visit_responder_drug.week_14_Primary_NonResponse_adalimumab,459,1561,13491,NA
21,visit_responder_drug.week_14_Primary_NonResponse_infliximab,413,1627,13471,NA
22,visit_responder_drug.week_14_Primary_Response_adalimumab,506,1411,13594,NA
23,visit_responder_drug.week_14_Primary_Response_infliximab,482,1457,13572,NA
24,visit_responder_drug.week_30_Primary_NonResponse_adalimumab,425,1644,13442,NA
25,visit_responder_drug.week_30_Primary_NonResponse_infliximab,372,1771,13368,NA
26,visit_responder_drug.week_30_Primary_Response_adalimumab,477,1447,13587,NA
27,visit_responder_drug.week_30_Primary_Response_infliximab,503,1455,13553,NA
28,visit_responder_drug.week_54_Primary_NonResponse_adalimumab,384,1789,13338,NA
29,visit_responder_drug.week_54_Primary_NonResponse_infliximab,254,2068,13189,NA
30,visit_responder_drug.week_54_Primary_Response_adalimumab,495,1515,13501,NA
31,visit_responder_drug.week_54_Primary_Response_infliximab,428,1588,13495,NA
32,SexMALE,1566,12421,1524,NA
33,Age_of_Onset,918,13939,654,NA
34,Disease_Duration,732,14494,285,NA
35,Smoking_HistoryEx,663,14555,293,NA
36,Smoking_HistoryNever,1264,13387,860,NA
37,Crohns_SurgeryTRUE,1,15510,0,NA
38,On_Immunomodulator_At_BaselineTRUE,1275,13353,883,NA
39,On_Steroids_At_BaselineTRUE,2,15503,6,NA
40,Earliest_BMI,663,14440,408,NA
41,Library_Prep_ProtocolOld,311,14323,877,NA
