i,coefficient,Down,NotSig,Up,SigF
1,(Intercept),753,1431,13327,NA
2,Primary_ResponseTRUE,0,15511,0,NA
3,"ns(Study_Day, knots = 7 * c(14, 30))1",0,15511,0,NA
4,"ns(Study_Day, knots = 7 * c(14, 30))2",271,14999,241,NA
5,"ns(Study_Day, knots = 7 * c(14, 30))3",0,15511,0,NA
6,Drug_Genericinfliximab,57,15410,44,NA
7,SexMALE,336,14954,221,NA
8,Age_of_Onset,2202,11169,2140,NA
9,Disease_Duration,682,14507,322,NA
10,Smoking_HistoryEx,68,15426,17,NA
11,Smoking_HistoryNever,290,15107,114,NA
12,Crohns_SurgeryTRUE,2,15509,0,NA
13,On_Immunomodulator_At_BaselineTRUE,686,14223,602,NA
14,On_Steroids_At_BaselineTRUE,0,15511,0,NA
15,Earliest_BMI,2,15507,2,NA
16,CD8T,4475,5502,5534,NA
17,CD4T,5990,2189,7332,NA
18,Bcell,2127,11510,1874,NA
19,Mono,4976,5512,5023,NA
20,NK,4460,6333,4718,NA
21,Library_Prep_ProtocolOld,420,13569,1522,NA
22,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))1",0,15511,0,NA
23,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))2",444,14910,157,NA
24,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))3",0,15511,0,NA
NA,"22,23,24",NA,0,NA,210
