i,coefficient,Down,NotSig,Up,SigF
1,(Intercept),515,1612,13384,NA
2,Primary_ResponseTRUE,2,15508,1,NA
3,"ns(Study_Day, knots = 7 * c(14, 30))1",13,15493,5,NA
4,"ns(Study_Day, knots = 7 * c(14, 30))2",3637,6613,5261,NA
5,"ns(Study_Day, knots = 7 * c(14, 30))3",0,15511,0,NA
6,Drug_Genericinfliximab,265,14981,265,NA
7,SexMALE,1586,12397,1528,NA
8,Age_of_Onset,828,14097,586,NA
9,Disease_Duration,848,14329,334,NA
10,Smoking_HistoryEx,618,14617,276,NA
11,Smoking_HistoryNever,1265,13406,840,NA
12,Crohns_SurgeryTRUE,2,15509,0,NA
13,On_Immunomodulator_At_BaselineTRUE,1277,13350,884,NA
14,On_Steroids_At_BaselineTRUE,14,15481,16,NA
15,Earliest_BMI,380,14960,171,NA
16,Library_Prep_ProtocolOld,308,14310,893,NA
17,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))1",0,15511,0,NA
18,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))2",2999,9253,3259,NA
19,"Primary_ResponseTRUE:ns(Study_Day, knots = 7 * c(14, 30))3",0,15509,2,NA
NA,"17,18,19",NA,0,NA,4426
