i,coefficient,Down,NotSig,Up,SigF
1,C_1RA_1NA,3,15508,0,NA
2,C_3RA_3NA,114,15334,63,NA
3,C_3RA_1RA,833,14108,570,NA
4,C_3NA_1NA,1,15505,5,NA
5,C_1RI_1NI,0,15511,0,NA
6,C_3RI_3NI,278,15132,101,NA
7,C_3RI_1RI,2054,10889,2568,NA
8,C_3NI_1NI,12,15483,16,NA
9,C_(1RI_1NI)_(1RA_1NA),0,15511,0,NA
10,C_(3RI_3NI)_(3RA_3NA),0,15511,0,NA
11,C_(3RI_1RI)_(3RA_1RA),0,15511,0,NA
12,C_(3NI_1NI)_(3NA_1NA),0,15511,0,NA
13,C_(3RI_1RI)_(3NI_1NI),0,15511,0,NA
14,C_(3RA_1RA)_(3NA_1NA),0,15511,0,NA
15,C_((3RI_1RI)_(3NI_1NI))_((3RA_1RA)_(3NA_1NA)),0,15511,0,NA
16,visit_responder_drug.week_0_Primary_NonResponse_adalimumab,721,1465,13325,NA
17,visit_responder_drug.week_0_Primary_NonResponse_infliximab,708,1463,13340,NA
18,visit_responder_drug.week_0_Primary_Response_adalimumab,752,1421,13338,NA
19,visit_responder_drug.week_0_Primary_Response_infliximab,778,1393,13340,NA
20,visit_responder_drug.week_14_Primary_NonResponse_adalimumab,662,1506,13343,NA
21,visit_responder_drug.week_14_Primary_NonResponse_infliximab,665,1506,13340,NA
22,visit_responder_drug.week_14_Primary_Response_adalimumab,684,1443,13384,NA
23,visit_responder_drug.week_14_Primary_Response_infliximab,635,1477,13399,NA
24,visit_responder_drug.week_30_Primary_NonResponse_adalimumab,650,1559,13302,NA
25,visit_responder_drug.week_30_Primary_NonResponse_infliximab,650,1591,13270,NA
26,visit_responder_drug.week_30_Primary_Response_adalimumab,669,1454,13388,NA
27,visit_responder_drug.week_30_Primary_Response_infliximab,662,1465,13384,NA
28,visit_responder_drug.week_54_Primary_NonResponse_adalimumab,607,1731,13173,NA
29,visit_responder_drug.week_54_Primary_NonResponse_infliximab,429,2012,13070,NA
30,visit_responder_drug.week_54_Primary_Response_adalimumab,666,1584,13261,NA
31,visit_responder_drug.week_54_Primary_Response_infliximab,597,1567,13347,NA
32,SexMALE,330,14967,214,NA
33,Age_of_Onset,2133,11306,2072,NA
34,Disease_Duration,656,14546,309,NA
35,Smoking_HistoryEx,74,15419,18,NA
36,Smoking_HistoryNever,264,15143,104,NA
37,Crohns_SurgeryTRUE,2,15509,0,NA
38,On_Immunomodulator_At_BaselineTRUE,653,14261,597,NA
39,On_Steroids_At_BaselineTRUE,0,15511,0,NA
40,Earliest_BMI,6,15502,3,NA
41,CD8T,4475,5523,5513,NA
42,CD4T,5990,2199,7322,NA
43,Bcell,2128,11482,1901,NA
44,Mono,4974,5530,5007,NA
45,NK,4446,6361,4704,NA
46,Library_Prep_ProtocolOld,413,13578,1520,NA
